,DATE,INDPRO
340,2014-05-07,102.2594
341,2014-05-08,102.2594
342,2014-05-09,102.2594
343,2014-05-10,102.2594
344,2014-05-11,102.2594
345,2014-05-12,102.2594
346,2014-05-13,102.2594
347,2014-05-14,102.2594
348,2014-05-15,102.2594
349,2014-05-16,102.2594
350,2014-05-17,102.2594
351,2014-05-18,102.2594
352,2014-05-19,102.2594
353,2014-05-20,102.2594
354,2014-05-21,102.2594
355,2014-05-22,102.2594
356,2014-05-23,102.2594
357,2014-05-24,102.2594
358,2014-05-25,102.2594
359,2014-05-26,102.2594
360,2014-05-27,102.2594
361,2014-05-28,102.2594
362,2014-05-29,102.2594
363,2014-05-30,102.2594
364,2014-05-31,102.2594
365,2014-06-01,102.5986
366,2014-06-02,102.5986
367,2014-06-03,102.5986
368,2014-06-04,102.5986
369,2014-06-05,102.5986
370,2014-06-06,102.5986
371,2014-06-07,102.5986
372,2014-06-08,102.5986
373,2014-06-09,102.5986
374,2014-06-10,102.5986
375,2014-06-11,102.5986
376,2014-06-12,102.5986
377,2014-06-13,102.5986
378,2014-06-14,102.5986
379,2014-06-15,102.5986
380,2014-06-16,102.5986
381,2014-06-17,102.5986
382,2014-06-18,102.5986
383,2014-06-19,102.5986
384,2014-06-20,102.5986
385,2014-06-21,102.5986
386,2014-06-22,102.5986
387,2014-06-23,102.5986
388,2014-06-24,102.5986
389,2014-06-25,102.5986
390,2014-06-26,102.5986
391,2014-06-27,102.5986
392,2014-06-28,102.5986
393,2014-06-29,102.5986
394,2014-06-30,102.5986
395,2014-07-01,102.8163
396,2014-07-02,102.8163
397,2014-07-03,102.8163
398,2014-07-04,102.8163
399,2014-07-05,102.8163
400,2014-07-06,102.8163
401,2014-07-07,102.8163
402,2014-07-08,102.8163
403,2014-07-09,102.8163
404,2014-07-10,102.8163
405,2014-07-11,102.8163
406,2014-07-12,102.8163
407,2014-07-13,102.8163
408,2014-07-14,102.8163
409,2014-07-15,102.8163
410,2014-07-16,102.8163
411,2014-07-17,102.8163
412,2014-07-18,102.8163
413,2014-07-19,102.8163
414,2014-07-20,102.8163
415,2014-07-21,102.8163
416,2014-07-22,102.8163
417,2014-07-23,102.8163
418,2014-07-24,102.8163
419,2014-07-25,102.8163
420,2014-07-26,102.8163
421,2014-07-27,102.8163
422,2014-07-28,102.8163
423,2014-07-29,102.8163
424,2014-07-30,102.8163
425,2014-07-31,102.8163
426,2014-08-01,102.6562
427,2014-08-02,102.6562
428,2014-08-03,102.6562
429,2014-08-04,102.6562
430,2014-08-05,102.6562
431,2014-08-06,102.6562
432,2014-08-07,102.6562
433,2014-08-08,102.6562
434,2014-08-09,102.6562
435,2014-08-10,102.6562
436,2014-08-11,102.6562
437,2014-08-12,102.6562
438,2014-08-13,102.6562
439,2014-08-14,102.6562
440,2014-08-15,102.6562
441,2014-08-16,102.6562
442,2014-08-17,102.6562
443,2014-08-18,102.6562
444,2014-08-19,102.6562
445,2014-08-20,102.6562
446,2014-08-21,102.6562
447,2014-08-22,102.6562
448,2014-08-23,102.6562
449,2014-08-24,102.6562
450,2014-08-25,102.6562
451,2014-08-26,102.6562
452,2014-08-27,102.6562
453,2014-08-28,102.6562
454,2014-08-29,102.6562
455,2014-08-30,102.6562
456,2014-08-31,102.6562
457,2014-09-01,102.9776
458,2014-09-02,102.9776
459,2014-09-03,102.9776
460,2014-09-04,102.9776
461,2014-09-05,102.9776
462,2014-09-06,102.9776
463,2014-09-07,102.9776
464,2014-09-08,102.9776
465,2014-09-09,102.9776
466,2014-09-10,102.9776
467,2014-09-11,102.9776
468,2014-09-12,102.9776
469,2014-09-13,102.9776
470,2014-09-14,102.9776
471,2014-09-15,102.9776
472,2014-09-16,102.9776
473,2014-09-17,102.9776
474,2014-09-18,102.9776
475,2014-09-19,102.9776
476,2014-09-20,102.9776
477,2014-09-21,102.9776
478,2014-09-22,102.9776
479,2014-09-23,102.9776
480,2014-09-24,102.9776
481,2014-09-25,102.9776
482,2014-09-26,102.9776
483,2014-09-27,102.9776
484,2014-09-28,102.9776
485,2014-09-29,102.9776
486,2014-09-30,102.9776
487,2014-10-01,102.9892
488,2014-10-02,102.9892
489,2014-10-03,102.9892
490,2014-10-04,102.9892
491,2014-10-05,102.9892
492,2014-10-06,102.9892
493,2014-10-07,102.9892
494,2014-10-08,102.9892
495,2014-10-09,102.9892
496,2014-10-10,102.9892
497,2014-10-11,102.9892
498,2014-10-12,102.9892
499,2014-10-13,102.9892
500,2014-10-14,102.9892
501,2014-10-15,102.9892
502,2014-10-16,102.9892
503,2014-10-17,102.9892
504,2014-10-18,102.9892
505,2014-10-19,102.9892
506,2014-10-20,102.9892
507,2014-10-21,102.9892
508,2014-10-22,102.9892
509,2014-10-23,102.9892
510,2014-10-24,102.9892
511,2014-10-25,102.9892
512,2014-10-26,102.9892
513,2014-10-27,102.9892
514,2014-10-28,102.9892
515,2014-10-29,102.9892
516,2014-10-30,102.9892
517,2014-10-31,102.9892
518,2014-11-01,103.6402
519,2014-11-02,103.6402
520,2014-11-03,103.6402
521,2014-11-04,103.6402
522,2014-11-05,103.6402
523,2014-11-06,103.6402
524,2014-11-07,103.6402
525,2014-11-08,103.6402
526,2014-11-09,103.6402
527,2014-11-10,103.6402
528,2014-11-11,103.6402
529,2014-11-12,103.6402
530,2014-11-13,103.6402
531,2014-11-14,103.6402
532,2014-11-15,103.6402
533,2014-11-16,103.6402
534,2014-11-17,103.6402
535,2014-11-18,103.6402
536,2014-11-19,103.6402
537,2014-11-20,103.6402
538,2014-11-21,103.6402
539,2014-11-22,103.6402
540,2014-11-23,103.6402
541,2014-11-24,103.6402
542,2014-11-25,103.6402
543,2014-11-26,103.6402
544,2014-11-27,103.6402
545,2014-11-28,103.6402
546,2014-11-29,103.6402
547,2014-11-30,103.6402
548,2014-12-01,103.6345
549,2014-12-02,103.6345
550,2014-12-03,103.6345
551,2014-12-04,103.6345
552,2014-12-05,103.6345
553,2014-12-06,103.6345
554,2014-12-07,103.6345
555,2014-12-08,103.6345
556,2014-12-09,103.6345
557,2014-12-10,103.6345
558,2014-12-11,103.6345
559,2014-12-12,103.6345
560,2014-12-13,103.6345
561,2014-12-14,103.6345
562,2014-12-15,103.6345
563,2014-12-16,103.6345
564,2014-12-17,103.6345
565,2014-12-18,103.6345
566,2014-12-19,103.6345
567,2014-12-20,103.6345
568,2014-12-21,103.6345
569,2014-12-22,103.6345
570,2014-12-23,103.6345
571,2014-12-24,103.6345
572,2014-12-25,103.6345
573,2014-12-26,103.6345
574,2014-12-27,103.6345
575,2014-12-28,103.6345
576,2014-12-29,103.6345
577,2014-12-30,103.6345
578,2014-12-31,103.6345
579,2015-01-01,102.8239
580,2015-01-02,102.8239
581,2015-01-03,102.8239
582,2015-01-04,102.8239
583,2015-01-05,102.8239
584,2015-01-06,102.8239
585,2015-01-07,102.8239
586,2015-01-08,102.8239
587,2015-01-09,102.8239
588,2015-01-10,102.8239
589,2015-01-11,102.8239
590,2015-01-12,102.8239
591,2015-01-13,102.8239
592,2015-01-14,102.8239
593,2015-01-15,102.8239
594,2015-01-16,102.8239
595,2015-01-17,102.8239
596,2015-01-18,102.8239
597,2015-01-19,102.8239
598,2015-01-20,102.8239
599,2015-01-21,102.8239
600,2015-01-22,102.8239
601,2015-01-23,102.8239
602,2015-01-24,102.8239
603,2015-01-25,102.8239
604,2015-01-26,102.8239
605,2015-01-27,102.8239
606,2015-01-28,102.8239
607,2015-01-29,102.8239
608,2015-01-30,102.8239
609,2015-01-31,102.8239
610,2015-02-01,102.1513
611,2015-02-02,102.1513
612,2015-02-03,102.1513
613,2015-02-04,102.1513
614,2015-02-05,102.1513
615,2015-02-06,102.1513
616,2015-02-07,102.1513
617,2015-02-08,102.1513
618,2015-02-09,102.1513
619,2015-02-10,102.1513
620,2015-02-11,102.1513
621,2015-02-12,102.1513
622,2015-02-13,102.1513
623,2015-02-14,102.1513
624,2015-02-15,102.1513
625,2015-02-16,102.1513
626,2015-02-17,102.1513
627,2015-02-18,102.1513
628,2015-02-19,102.1513
629,2015-02-20,102.1513
630,2015-02-21,102.1513
631,2015-02-22,102.1513
632,2015-02-23,102.1513
633,2015-02-24,102.1513
634,2015-02-25,102.1513
635,2015-02-26,102.1513
636,2015-02-27,102.1513
637,2015-02-28,102.1513
638,2015-03-01,101.824
639,2015-03-02,101.824
640,2015-03-03,101.824
641,2015-03-04,101.824
642,2015-03-05,101.824
643,2015-03-06,101.824
644,2015-03-07,101.824
645,2015-03-08,101.824
646,2015-03-09,101.824
647,2015-03-10,101.824
648,2015-03-11,101.824
649,2015-03-12,101.824
650,2015-03-13,101.824
651,2015-03-14,101.824
652,2015-03-15,101.824
653,2015-03-16,101.824
654,2015-03-17,101.824
655,2015-03-18,101.824
656,2015-03-19,101.824
657,2015-03-20,101.824
658,2015-03-21,101.824
659,2015-03-22,101.824
660,2015-03-23,101.824
661,2015-03-24,101.824
662,2015-03-25,101.824
663,2015-03-26,101.824
664,2015-03-27,101.824
665,2015-03-28,101.824
666,2015-03-29,101.824
667,2015-03-30,101.824
668,2015-03-31,101.824
669,2015-04-01,101.244
670,2015-04-02,101.244
671,2015-04-03,101.244
672,2015-04-04,101.244
673,2015-04-05,101.244
674,2015-04-06,101.244
675,2015-04-07,101.244
676,2015-04-08,101.244
677,2015-04-09,101.244
678,2015-04-10,101.244
679,2015-04-11,101.244
680,2015-04-12,101.244
681,2015-04-13,101.244
682,2015-04-14,101.244
683,2015-04-15,101.244
684,2015-04-16,101.244
685,2015-04-17,101.244
686,2015-04-18,101.244
687,2015-04-19,101.244
688,2015-04-20,101.244
689,2015-04-21,101.244
690,2015-04-22,101.244
691,2015-04-23,101.244
692,2015-04-24,101.244
693,2015-04-25,101.244
694,2015-04-26,101.244
695,2015-04-27,101.244
696,2015-04-28,101.244
697,2015-04-29,101.244
698,2015-04-30,101.244
699,2015-05-01,100.783
700,2015-05-02,100.783
701,2015-05-03,100.783
702,2015-05-04,100.783
703,2015-05-05,100.783
704,2015-05-06,100.783
705,2015-05-07,100.783
706,2015-05-08,100.783
707,2015-05-09,100.783
708,2015-05-10,100.783
709,2015-05-11,100.783
710,2015-05-12,100.783
711,2015-05-13,100.783
712,2015-05-14,100.783
713,2015-05-15,100.783
714,2015-05-16,100.783
715,2015-05-17,100.783
716,2015-05-18,100.783
717,2015-05-19,100.783
718,2015-05-20,100.783
719,2015-05-21,100.783
720,2015-05-22,100.783
721,2015-05-23,100.783
722,2015-05-24,100.783
723,2015-05-25,100.783
724,2015-05-26,100.783
725,2015-05-27,100.783
726,2015-05-28,100.783
727,2015-05-29,100.783
728,2015-05-30,100.783
729,2015-05-31,100.783
730,2015-06-01,100.4781
731,2015-06-02,100.4781
732,2015-06-03,100.4781
733,2015-06-04,100.4781
734,2015-06-05,100.4781
735,2015-06-06,100.4781
736,2015-06-07,100.4781
737,2015-06-08,100.4781
738,2015-06-09,100.4781
739,2015-06-10,100.4781
740,2015-06-11,100.4781
741,2015-06-12,100.4781
742,2015-06-13,100.4781
743,2015-06-14,100.4781
744,2015-06-15,100.4781
745,2015-06-16,100.4781
746,2015-06-17,100.4781
747,2015-06-18,100.4781
748,2015-06-19,100.4781
749,2015-06-20,100.4781
750,2015-06-21,100.4781
751,2015-06-22,100.4781
752,2015-06-23,100.4781
753,2015-06-24,100.4781
754,2015-06-25,100.4781
755,2015-06-26,100.4781
756,2015-06-27,100.4781
757,2015-06-28,100.4781
758,2015-06-29,100.4781
759,2015-06-30,100.4781
760,2015-07-01,101.1052
761,2015-07-02,101.1052
762,2015-07-03,101.1052
763,2015-07-04,101.1052
764,2015-07-05,101.1052
765,2015-07-06,101.1052
766,2015-07-07,101.1052
767,2015-07-08,101.1052
768,2015-07-09,101.1052
769,2015-07-10,101.1052
770,2015-07-11,101.1052
771,2015-07-12,101.1052
772,2015-07-13,101.1052
773,2015-07-14,101.1052
774,2015-07-15,101.1052
