DATE,XLB_CLOSE,XLB_HIGH,XLB_LOW,XLB_OPEN,XLB_VOLUME
2016-03-23T00:00:00.000Z,38.6306144582,38.908095864,38.5612441068,38.786697749,5663612
2016-03-24T00:00:00.000Z,38.6306144582,38.6479570461,38.1450219981,38.3097765828,3762072
2016-03-28T00:00:00.000Z,38.7953690429,38.9341097458,38.5525728129,38.5872579886,3949338
2016-03-29T00:00:00.000Z,39.0121513911,39.0208226851,38.3964895221,38.5265589311,4095555
2016-03-30T00:00:00.000Z,39.1855772697,39.3522395391,39.0208226851,39.1855772697,4036329
2016-03-31T00:00:00.000Z,38.8560681004,39.280961503,38.7268658208,39.2289337394,5556164
2016-04-01T00:00:00.000Z,39.2289337394,39.2289337394,38.292433995,38.5785866946,8590546
2016-04-04T00:00:00.000Z,38.7173273975,39.2029198576,38.6479570461,38.9774662154,5660555
2016-04-05T00:00:00.000Z,38.4745311675,38.6652996339,38.3791469343,38.4311746978,5483161
2016-04-06T00:00:00.000Z,38.9167671579,38.9167671579,38.1276794103,38.3791469343,5672738
2016-04-07T00:00:00.000Z,38.3531330525,38.6826422218,38.1883784678,38.6219431643,5067081
2016-04-08T00:00:00.000Z,38.6046005764,39.0381652729,38.5612441068,38.5612441068,4405667
2016-04-11T00:00:00.000Z,38.778026455,39.1855772697,38.778026455,38.9514523336,3845688
2016-04-12T00:00:00.000Z,39.3156466787,39.3850170301,38.7953690429,39.0121513911,4686967
2016-04-13T00:00:00.000Z,39.7058549055,39.8359243145,39.5324290269,39.5671142027,4825903
2016-04-14T00:00:00.000Z,39.7318687873,39.9486511356,39.645155848,39.8792807841,3538305
2016-04-15T00:00:00.000Z,39.9139659599,39.9399798417,39.5815952635,39.8359243145,3437427
2016-04-18T00:00:00.000Z,40.0960631324,40.1003987794,39.5671142027,39.7145261995,4465687
2016-04-19T00:00:00.000Z,40.9545212315,40.9805351133,40.1914473656,40.2521464231,6326080
2016-04-20T00:00:00.000Z,40.8331231164,41.0325628768,40.7289808763,41.006548995,6506675
2016-04-21T00:00:00.000Z,40.6510259439,41.1106045222,40.64235465,40.9545212315,6070639
2016-04-22T00:00:00.000Z,40.9371786436,41.0642130997,40.7118117144,40.7810953529,5429761
